,Reconfiguring
0.008629666,1
2.08999999973258E-07,0
0.008638041,1
2.09000000417348E-07,0
0.008642207999999,1
2.08000000334607E-07,0
0.008631125,1
2.499999998129E-07,0
0.008637709,1
2.499999998129E-07,0
0.008638458,1
2.50000000256989E-07,0
0.008629833,1
2.08999999973258E-07,0
0.008635583,1
2.499999998129E-07,0
0.008633292,1
2.50000000256989E-07,0
0.008635458,1
2.07999999890518E-07,0
0.008647125,1
2.08999999973258E-07,0
0.008652333,1
2.499999998129E-07,0
0.008652875,1
2.07999999890518E-07,0
0.008649334,1
2.499999998129E-07,0
0.008646375,1
2.07999999890518E-07,0
0.008644125,1
2.50000000256989E-07,0
0.008629458,1
2.50000000256989E-07,0
0.00862975,1
2.08999999973258E-07,0
0.008627416,1
2.50000000256989E-07,0
0.008639834,1
2.07999999890518E-07,0
0.008638667,1
2.50000000256989E-07,0
0.008653083,1
2.07999999890518E-07,0
0.008645209,1
2.07999999890518E-07,0
0.008641833,1
2.499999998129E-07,0
0.008637584,1
2.07999999890518E-07,0
0.008623833,1
2.08999999973258E-07,0
0.008625041,1
2.08999999973258E-07,0
0.008626583,1
2.50000000256989E-07,0
0.008630208,1
2.499999998129E-07,0
0.008627084,1
2.50000000256989E-07,0
0.00863375,1
2.08000000334607E-07,0
0.00863925,1
2.50000000256989E-07,0
0.008642458,1
2.50000000256989E-07,0
0.008646,1
2.50000000256989E-07,0
0.00863575,1
2.08999999529169E-07,0
0.008639916000001,1
2.49999999368811E-07,0
0.008651792,1
2.08000000334607E-07,0
0.008636875,1
2.09000000417348E-07,0
0.008640041,1
2.09000000417348E-07,0
0.008631749999999,1
2.08000000334607E-07,0
0.008628708,1
2.09000000417348E-07,0
0.008627208,1
2.49999999368811E-07,0
0.008636083000001,1
2.49999999368811E-07,0
0.008623792,1
2.50000000256989E-07,0
0.008633583,1
2.50000000256989E-07,0
0.00863,1
2.08999999529169E-07,0
0.008625333,1
2.50000000256989E-07,0
0.008631167,1
2.49999999368811E-07,0
0.008626916000001,1
2.49999999368811E-07,0
0.008624917000001,1
2.49999999368811E-07,0
0.008625958000001,1
2.08999999529169E-07,0
0.008623333,1
2.50000000256989E-07,0
0.008628375,1
2.08000000334607E-07,0
0.008636167,1
2.08000000334607E-07,0
0.0086375,1
2.50000000256989E-07,0
0.008629042,1
2.07999999446429E-07,0
0.00863,1
2.50000000256989E-07,0
0.008640375,1
2.09000000417348E-07,0
0.008639375,1
2.50000000256989E-07,0
0.008633416,1
2.08999999529169E-07,0
0.008631291,1
2.49999999368811E-07,0
0.008631834,1
2.08000000334607E-07,0
0.008633875,1
2.07999999446429E-07,0
0.008634750000001,1
2.08999999529169E-07,0
0.008635333,1
2.50000000256989E-07,0
0.008629167000001,1
2.07999999446429E-07,0
0.008630042,1
2.08000000334607E-07,0
0.008626292,1
2.08000000334607E-07,0
0.008619208,1
2.08999999529169E-07,0
0.008623708,1
2.50000000256989E-07,0
0.008628625,1
2.50000000256989E-07,0
0.008634042,1
2.50000000256989E-07,0
0.008626333,1
2.08000000334607E-07,0
0.008627709,1
2.08000000334607E-07,0
0.00861875,1
2.49999999368811E-07,0
0.008616833,1
2.49999999368811E-07,0
0.008617167000001,1
2.49999999368811E-07,0
0.008623917,1
2.50000000256989E-07,0
0.008623083,1
2.50000000256989E-07,0
0.008624542,1
2.50000000256989E-07,0
0.008622291,1
2.49999999368811E-07,0
0.008629417000001,1
2.49999999368811E-07,0
0.008616417,1
2.08000000334607E-07,0
0.008626958,1
2.50000000256989E-07,0
0.008636459,1
2.50000000256989E-07,0
0.008632833,1
2.07999999446429E-07,0
0.008622542,1
2.50000000256989E-07,0
0.008621166999999,1
2.08000000334607E-07,0
0.008620583,1
2.50000000256989E-07,0
0.008624,1
2.08999999529169E-07,0
0.008637083,1
2.08000000334607E-07,0
0.008636667,1
2.49999999368811E-07,0
0.008638083,1
2.09000000417348E-07,0
0.008643416,1
2.08999999529169E-07,0
0.008625416,1
2.09000000417348E-07,0
0.008617957999999,1
2.50000000256989E-07,0
0.00862675,1
2.49999999368811E-07,0
0.008618292,1
2.08000000334607E-07,0
0.008626749999999,1
2.50000000256989E-07,0
0.008619542,1
2.50000000256989E-07,0
0.008621457999999,1
2.50000000256989E-07,0
0.008623292,1
2.07999999446429E-07,0
0.008616417,1
2.50000000256989E-07,0
0.008624541000001,1
2.49999999368811E-07,0
0.008615917,1
2.50000000256989E-07,0
0.008615667,1
2.07999999446429E-07,0
0.008616458000001,1
2.50000000256989E-07,0
0.008623209,1
2.50000000256989E-07,0
0.0086215,1
2.07999999446429E-07,0
0.008626833,1
2.50000000256989E-07,0
0.008633124999999,1
2.50000000256989E-07,0
0.008628459,1
2.50000000256989E-07,0
0.008638208,1
2.50000000256989E-07,0
0.008641167,1
2.49999999368811E-07,0
0.008637125000001,1
2.49999999368811E-07,0
0.00862325,1
2.08000000334607E-07,0
0.008625875,1
2.07999999446429E-07,0
0.008630584000001,1
2.07999999446429E-07,0
0.008633083,1
2.09000000417348E-07,0
0.008647,1
2.49999999368811E-07,0
0.008644125,1
2.50000000256989E-07,0
0.008641125,1
2.50000000256989E-07,0
0.008634333,1
2.08000000334607E-07,0
0.008638292,1
2.50000000256989E-07,0
0.008642,1
2.50000000256989E-07,0
0.008629333,1
2.08999999529169E-07,0
0.008637958,1
2.07999999446429E-07,0
0.008644334,1
2.50000000256989E-07,0
0.0086295,1
2.50000000256989E-07,0
0.008630166,1
2.50000000256989E-07,0
0.008636667,1
2.07999999446429E-07,0
0.008635667,1
2.08000000334607E-07,0
0.008635625,1
2.08999999529169E-07,0
0.008636458,1
2.50000000256989E-07,0
0.008631917,1
2.08000000334607E-07,0
0.008630083,1
2.50000000256989E-07,0
0.0086335,1
2.49999999368811E-07,0
0.008638709,1
2.50000000256989E-07,0
0.008639916,1
2.08999999529169E-07,0
0.008627958,1
2.08000000334607E-07,0
0.008629084,1
2.50000000256989E-07,0
0.0086265,1
2.50000000256989E-07,0
0.008640625,1
2.49999999368811E-07,0
0.008639666000001,1
2.08999999529169E-07,0
0.008640875,1
2.50000000256989E-07,0
0.008642957999999,1
2.50000000256989E-07,0
0.008641583,1
2.49999999368811E-07,0
0.008639000000001,1
2.50000000256989E-07,0
0.008631959,1
2.50000000256989E-07,0
0.008648915999999,1
2.09000000417348E-07,0
0.00863475,1
2.08000000334607E-07,0
0.008634375,1
2.50000000256989E-07,0
0.008636249999999,1
2.50000000256989E-07,0
0.008632458,1
2.09000000417348E-07,0
0.0086315,1
2.49999999368811E-07,0
0.008625125,1
2.08000000334607E-07,0
0.008622625,1
2.07999999446429E-07,0
0.008626875,1
2.09000000417348E-07,0
0.008624625,1
2.07999999446429E-07,0
0.008631167,1
2.08000000334607E-07,0
0.008633708,1
2.09000000417348E-07,0
0.008626791,1
2.49999999368811E-07,0
0.008622167,1
2.08000000334607E-07,0
0.008621042,1
2.50000000256989E-07,0
0.008634792,1
2.08000000334607E-07,0
0.008639917,1
2.07999999446429E-07,0
0.008632125,1
2.50000000256989E-07,0
0.008636083,1
2.50000000256989E-07,0
0.008626834,1
2.07999999446429E-07,0
0.008630917000001,1
2.07999999446429E-07,0
0.008627542,1
2.08000000334607E-07,0
0.008636083,1
2.50000000256989E-07,0
0.008629333999999,1
2.08000000334607E-07,0
0.008630667,1
2.49999999368811E-07,0
0.008645208000001,1
2.49999999368811E-07,0
0.008633375000001,1
2.07999999446429E-07,0
0.002506292000001,0
